nID,source,bias,feedback,URL
512,AARP,center,269/140 agree,http://www.aarp.org/
0,ABC News,left-center,35528/17990 agree,http://abcnews.go.com/
256,Above The Law,left-center,269/140 agree,https://abovethelaw.com/
1,Abridge News,allsides,395/255 agree,https://abridgenews.com/
257,Accuracy in Media,right,979/631 agree,http://www.aim.org/
2,ACLU,left-center,2111/3129 somewhat disagree,https://www.aclu.org/
258,AJ+,left,611/206 strongly agree,https://www.ajplus.net/
3,Al Jazeera,left-center,4896/7380 disagree,https://www.aljazeera.com/
259,AllSides,allsides,4222/1666 strongly agree,http://www.allsides.com/
4,AllSides Community,allsides,2642/1509 agree,https://www.allsides.com/
260,AlterNet,left,13743/2981 absolutely agree,http://www.alternet.org/
5,American Conservative Union,right,1051/532 agree,http://conservative.org/
261,American Enterprise Institute,right-center,1803/1005 agree,https://www.aei.org/
6,American Greatness,right,516/199 strongly agree,https://amgreatness.com/
262,American Psychological Association,center,171/262 disagree,https://www.apa.org/
7,American Thinker,right,1961/1048 agree,http://www.americanthinker.com/
263,Americans for Democratic Action,left,825/338 strongly agree,http://www.adaction.org/
8,Americans for Tax Reform,right,767/536 somewhat agree,http://www.atr.org/
264,Ammo.com,right,116/87 somewhat agree,https://ammo.com/
9,Amnesty International,left-center,524/945 disagree,https://www.amnesty.org/
265,Aquinas College Saint,left,1009/660 agree,http://www.aquinas.edu/thesaint/
10,Arc Digital,center,20/21 somewhat disagree,https://www.arcdigital.media/
266,Arkansas Democrat-Gazette,left,1082/823 somewhat agree,http://www.arkansasonline.com/
11,Associated Press,center,26819/20659 somewhat agree,https://apnews.com/
267,Association for Psychological Science,center,831/727 somewhat agree,http://www.psychologicalscience.org/
12,Atlanta Black Star,left-center,93/149 disagree,https://atlantablackstar.com/
268,Atlanta Journal-Constitution,left-center,1101/1006 somewhat agree,http://www.ajc.com/
13,Atlas Network,right,462/321 somewhat agree,https://www.atlasnetwork.org/
269,AtlasOne,right-center,300/338 somewhat disagree,http://atlasone.org/
14,Austin American-Statesman,left-center,938/758 somewhat agree,http://www.mystatesman.com/
270,Axios,center,6125/6506 somewhat disagree,https://www.axios.com/
15,AZ Central,center,256/438 disagree,https://www.azcentral.com/
271,Babylon Bee,right-center,602/221 strongly agree,https://babylonbee.com/
16,Ballotpedia,center,697/473 somewhat agree,http://ballotpedia.org/
272,Barnstable Patriot,center,603/705 somewhat disagree,http://www.barnstablepatriot.com/
17,BBC News,center,29361/25171 somewhat agree,http://www.bbc.com/
273,Bearing Drift,right,720/625 somewhat agree,http://www.bearingdrift.com/
